time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4 
1.5000000000000009,0.4204391927201417,0.032910775397649694,2.545117252386926,6.279702464991377,6.111062794585511,0.0,1.0720970592607848,0.038080987975489644,3.2222402480592214,-0.017916798977586478,-0.20113262833719786,0.0,450.58371337324974,450.24208703215936,449.8384663451587,449.9510814158507
1.5000000000000009,0.4204391927201417,0.032910775397649694,2.545117252386926,6.279702464991377,6.111062794585511,0.0,1.0720970592607848,0.038080987975489644,3.2222402480592214,-0.017916798977586478,-0.20113262833719786,0.0,450.58371337324974,450.24208703215936,449.8384663451587,449.9510814158507
1.5000000000000009,0.4204391927201417,0.032910775397649694,2.545117252386926,6.279702464991377,6.111062794585511,0.0,1.0720970592607848,0.038080987975489644,3.2222402480592214,-0.017916798977586478,-0.20113262833719786,0.0,450.58371337324974,450.24208703215936,449.8384663451587,449.9510814158507
1.5000000000000009,0.4204391927201417,0.032910775397649694,2.545117252386926,6.279702464991377,6.111062794585511,0.0,1.0720970592607848,0.038080987975489644,3.2222402480592214,-0.017916798977586478,-0.20113262833719786,0.0,450.58371337324974,450.24208703215936,449.8384663451587,449.9510814158507
1.5000000000000009,0.4204391927201417,0.032910775397649694,2.545117252386926,6.279702464991377,6.111062794585511,0.0,1.0720970592607848,0.038080987975489644,3.2222402480592214,-0.017916798977586478,-0.20113262833719786,0.0,450.58371337324974,450.24208703215936,449.8384663451587,449.9510814158507
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
1.560000000000001,0.48837967157869794,0.03511976411414575,2.741376270740163,6.278635609188385,6.098857969612013,0.0,1.193741026812115,0.0354453999981344,3.319149498466566,-0.01751058494767698,-0.20840882862109564,0.0,450.34320128705275,449.7141218070018,449.90087635087247,449.933839322196
