time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
0.06,3.477802813677466e-09,-1.575023562859603e-08,0.0042542678223603005,6.283165214239066,6.283180990414017,0.0,3.490450093676277e-07,-1.60279296959803e-06,0.14180111396661882,-0.0010132636939411174,-0.00021624126705141504,0.0,449.9960995634875,449.9785996042406,449.9887171084797,449.90670838366594
